CY116444.1	CY116444.1 Influenza A virus (A/swine/Gent/177/2002(H1N2)) neuraminidase (NA) gene, complete cds
DQ150435.2	DQ150435.2 Influenza A virus (A/swine/IN/PU542/04 (H3N1)) neuraminidase (NA) gene, complete cds
CY157777.1	CY157777.1 Influenza A virus (A/swine/Illinois/00303/2004(H3N2)) neuraminidase (NA) gene, complete cds
CY159099.1	CY159099.1 Influenza A virus (A/swine/Iowa/00186/2003(H3N2)) neuraminidase (NA) gene, complete cds
CY159219.1	CY159219.1 Influenza A virus (A/swine/Iowa/00250/2004(H1N1)) neuraminidase (NA) gene, complete cds
CY157697.1	CY157697.1 Influenza A virus (A/swine/Colorado/SG1185/2004(H1N1)) neuraminidase (NA) gene, complete cds
KM198692.1	KM198692.1 Influenza A virus (A/swine/Iowa/00239/2004(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
KR700626.1	KR700626.1 Influenza A virus (A/swine/England/1437/2004(H1N2)) segment 6 neuraminidase (NA) gene, complete cds
CY085496.2	CY085496.2 Influenza A virus (A/swine/Hong Kong/227/2002(H1N1)) neuraminidase (NA) gene, complete cds
CY085504.2	CY085504.2 Influenza A virus (A/swine/Hong Kong/752/2002(H1N1)) neuraminidase (NA) gene, complete cds
AB571805.2	AB571805.2 Influenza A virus (A/swine/Chachoengsao/2002(H3N2)) NA gene for neuraminidase, complete cds
AB573015.2	AB573015.2 Influenza A virus (A/swine/Chonburi/2002(H3N2)) NA gene for neuraminidase, complete cds
